crate_name,abi,discriminant,reason,err_id,err_text,category,ignored,file,start_line,start_col,end_line,end_col,type_name
ecdh,C,5,11,13,bindings_ecdh::ec_method_st,foreign_functions,FALSE,src/bindings_ecdh.rs,8600,33,8600,52,Adt
ecdh,C,5,11,15,bindings_ecdh::ec_point_st,foreign_functions,FALSE,src/bindings_ecdh.rs,9093,80,9093,96,Adt
ecdh,C,5,11,16,bindings_ecdh::ecdh_method,foreign_functions,FALSE,src/bindings_ecdh.rs,9948,47,9948,65,Adt
ecdh,C,5,11,12,bindings_ecdh::evp_cipher_st,foreign_functions,FALSE,src/bindings_ecdh.rs,8521,11,8521,29,Adt
ecdh,C,5,11,4,bindings_ecdh::evp_pkey_st,foreign_functions,FALSE,src/bindings_ecdh.rs,5680,27,5680,43,Adt
ecdh,C,5,11,1,bindings_ecdh::hostent,foreign_functions,FALSE,src/bindings_ecdh.rs,3526,57,3526,69,Adt
ecdh,C,5,11,0,bindings_ecdh::st_CRYPTO_EX_DATA_IMPL,foreign_functions,FALSE,src/bindings_ecdh.rs,1858,48,1858,77,Adt
ecdh,C,5,11,10,bindings_ecdh::v3_ext_ctx,foreign_functions,FALSE,src/bindings_ecdh.rs,8322,55,8322,70,Adt
ecdh,C,5,11,7,bindings_ecdh::x509_st,foreign_functions,FALSE,src/bindings_ecdh.rs,7995,30,7995,51,Adt
ecdh,C,5,11,17,bindings_sha::SHA512state_st,foreign_functions,FALSE,src/bindings_sha.rs,430,29,430,48,Adt
multicast_dns,C,5,11,3,bindings::avahi::types::AvahiAddress,foreign_functions,TRUE,src/bindings/avahi/functions.rs,197,75,197,94,Adt
multicast_dns,C,5,11,6,bindings::avahi::types::AvahiEntryGroup,foreign_functions,TRUE,src/bindings/avahi/functions.rs,304,16,304,36,Adt
multicast_dns,C,5,11,1,bindings::avahi::types::AvahiPoll,foreign_functions,TRUE,src/bindings/avahi/functions.rs,77,10,77,26,Adt
multicast_dns,C,5,11,2,bindings::avahi::types::AvahiServiceResolver,foreign_functions,TRUE,src/bindings/avahi/functions.rs,195,50,195,75,Adt
multicast_dns,C,5,11,0,bindings::avahi::types::AvahiSimplePoll,foreign_functions,TRUE,src/bindings/avahi/functions.rs,27,47,27,67,Adt
multicast_dns,C,5,11,4,bindings::avahi::types::AvahiStringList,foreign_functions,TRUE,src/bindings/avahi/functions.rs,210,53,210,73,Adt
multicast_dns,C,5,11,5,bindings::avahi::types::AvahiThreadedPoll,foreign_functions,TRUE,src/bindings/avahi/functions.rs,273,52,273,74,Adt
rusty_libimobiledevice,C,5,11,0,bindings::ssl_data_private,foreign_functions,TRUE,src/pregenerated.rs,9094,17,9094,35,Adt
virtualization-rs,C,5,21,0,"block::Block<(), ()>",foreign_functions,TRUE,src/base.rs,21,45,21,59,Adt
libpcap,C,5,16,0,clib::pcap,foreign_functions,TRUE,src/clib.rs,132,30,132,41,Adt
packed_simd_2,C,5,16,22,codegen::v128::f32x4,foreign_functions,TRUE,src/codegen/math/float/cos.rs,17,31,17,36,Adt
packed_simd_2,C,5,16,25,codegen::v128::f64x2,foreign_functions,TRUE,src/codegen/math/float/sin.rs,27,21,27,26,Adt
packed_simd_2,C,5,16,18,codegen::v128::u128x1,foreign_functions,TRUE,src/codegen/bit_manip.rs,143,24,143,30,Adt
packed_simd_2,C,5,16,8,codegen::v128::u16x8,foreign_functions,TRUE,src/codegen/bit_manip.rs,26,53,26,58,Adt
packed_simd_2,C,5,16,12,codegen::v128::u32x4,foreign_functions,TRUE,src/codegen/bit_manip.rs,35,53,35,58,Adt
packed_simd_2,C,5,16,15,codegen::v128::u64x2,foreign_functions,TRUE,src/codegen/bit_manip.rs,89,53,89,58,Adt
packed_simd_2,C,5,16,3,codegen::v128::u8x16,foreign_functions,TRUE,src/codegen/bit_manip.rs,62,53,62,58,Adt
packed_simd_2,C,5,16,0,codegen::v16::u8x2,foreign_functions,TRUE,src/codegen/bit_manip.rs,56,51,56,55,Adt
packed_simd_2,C,5,16,23,codegen::v256::f32x8,foreign_functions,TRUE,src/codegen/math/float/powf.rs,19,22,19,27,Adt
packed_simd_2,C,5,16,26,codegen::v256::f64x4,foreign_functions,TRUE,src/codegen/math/float/powf.rs,29,42,29,47,Adt
packed_simd_2,C,5,16,19,codegen::v256::u128x2,foreign_functions,TRUE,src/codegen/bit_manip.rs,145,24,145,30,Adt
packed_simd_2,C,5,16,9,codegen::v256::u16x16,foreign_functions,TRUE,src/codegen/bit_manip.rs,75,55,75,61,Adt
packed_simd_2,C,5,16,13,codegen::v256::u32x8,foreign_functions,TRUE,src/codegen/bit_manip.rs,131,23,131,28,Adt
packed_simd_2,C,5,16,16,codegen::v256::u64x4,foreign_functions,TRUE,src/codegen/bit_manip.rs,138,23,138,28,Adt
packed_simd_2,C,5,16,4,codegen::v256::u8x32,foreign_functions,TRUE,src/codegen/bit_manip.rs,17,53,17,58,Adt
packed_simd_2,C,5,16,6,codegen::v32::u16x2,foreign_functions,TRUE,src/codegen/bit_manip.rs,22,22,22,27,Adt
packed_simd_2,C,5,16,1,codegen::v32::u8x4,foreign_functions,TRUE,src/codegen/bit_manip.rs,58,21,58,25,Adt
packed_simd_2,C,5,16,24,codegen::v512::f32x16,foreign_functions,TRUE,src/codegen/math/float/cos.rs,21,33,21,39,Adt
packed_simd_2,C,5,16,27,codegen::v512::f64x8,foreign_functions,TRUE,src/codegen/math/float/mul_adde.rs,30,45,30,50,Adt
packed_simd_2,C,5,16,20,codegen::v512::u128x4,foreign_functions,TRUE,src/codegen/bit_manip.rs,53,23,53,29,Adt
packed_simd_2,C,5,16,10,codegen::v512::u16x32,foreign_functions,TRUE,src/codegen/bit_manip.rs,77,55,77,61,Adt
packed_simd_2,C,5,16,14,codegen::v512::u32x16,foreign_functions,TRUE,src/codegen/bit_manip.rs,86,55,86,61,Adt
packed_simd_2,C,5,16,17,codegen::v512::u64x8,foreign_functions,TRUE,src/codegen/bit_manip.rs,46,53,46,58,Adt
packed_simd_2,C,5,16,5,codegen::v512::u8x64,foreign_functions,TRUE,src/codegen/bit_manip.rs,66,22,66,27,Adt
packed_simd_2,C,5,16,21,codegen::v64::f32x2,foreign_functions,TRUE,src/codegen/math/float/sin.rs,15,31,15,36,Adt
packed_simd_2,C,5,16,7,codegen::v64::u16x4,foreign_functions,TRUE,src/codegen/bit_manip.rs,71,53,71,58,Adt
