error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
133,lsmlite-rs,0.1.0,tests::can_work_with_compressed_db_with_background_checkpointer,Undefined Behavior,write access through <232583> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,30
134,lucet-runtime-internals,0.6.1,context::tests::c_child::call_child,Undefined Behavior,constructing invalid value at .value.__val[0],"Undefined Behavior: constructing invalid value at .value.__val[0]: encountered uninitialized memory, but expected an integer",FALSE,13
135,lz4,1.24.0,decoder::test::test_decoder_smallest,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds",FALSE,1
137,lz4,1.24.0,decoder::test::test_decoder_send,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 8, so pointer to 8 bytes starting at offset 64 is out-of-bounds",FALSE,1
139,lzokay-native,0.1.0,tests::check_lzo_decompress_compatibility,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,1
140,lzzzz,1.0.4,lz4f::dictionary::tests::create_dictionary,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,1
144,milagro-crypto,0.1.14,ff::tests::test_ff_sqr,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 80, so pointer to 8 bytes starting at offset 80 is out-of-bounds",FALSE,1
145,milagro-crypto,0.1.14,big::tests::test_bytes,Undefined Behavior,write access through <109776> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
146,milagro-crypto,0.1.14,big::tests::test_big_hex_io,Undefined Behavior,write access through <129248> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,28
147,milagro-crypto,0.1.14,ff::tests::test_ff_is_prime,Undefined Behavior,write access through <694985> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
148,milagro-crypto,0.1.14,ff::tests::test_ff_modulus,Undefined Behavior,write access through <133187> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
149,milagro-crypto,0.1.14,ff::tests::test_ff_randomN,Undefined Behavior,write access through <673247> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,2
150,milagro-crypto,0.1.14,ff::tests::test_ff_pow,Undefined Behavior,write access through <145130> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
151,minilzo-rs,0.6.0,tests::test_lzo_cmpress,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,1
152,minimap2,0.1.16+minimap2.2.26,tests::create_index,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,6
153,minimap2-sys,0.1.16+minimap2.2.26,tests::set_index_and_mapping_opts,Undefined Behavior,constructing invalid value at .value.k,"Undefined Behavior: constructing invalid value at .value.k: encountered uninitialized memory, but expected an integer",FALSE,1
154,minimp3_ex-sys,0.1.1,open_dummy_cb,memory leaked,"alloc24688 (C heap, size","memory leaked: alloc (C heap, size: 131072, align: 16), allocated here:",FALSE,1
156,mozjpeg,0.10.1,compress::convert_colorspace,Undefined Behavior,write access through <96892> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,2
157,ms5837,0.2.1,tests::crc4,Undefined Behavior,write access through <92011> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
158,mseed,0.5.0,util::tests::test_xchan2seedchan,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 1, so pointer to 1 byte starting at offset 1 is out-of-bounds",FALSE,1
159,mseed,0.5.0,util::tests::test_seedchan2xchan,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 1, so pointer to 1 byte starting at offset 1 is out-of-bounds",FALSE,1
160,mugle_secp256k1zkp,0.7.12,ecdh::tests::ecdh,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,2
161,mugle_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
162,n5,0.7.6,compression::lz::tests::test_read_doc_spec_block,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds",FALSE,1
164,n5,0.7.6,compression::bzip::tests::test_read_doc_spec_block,Undefined Behavior,read access through <104083> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
165,n5,0.7.6,compression::bzip::tests::test_rw,Undefined Behavior,read access through <107342> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
172,oneio,0.13.1,test_reader_local,Undefined Behavior,read access through <461928> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,2
173,openh264-sys2,0.4.1,can_call_simple_decoder,LLI interoperation error,LLVM field count mismatch,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 2 fields to a Rust value of type openh264_sys2::_tagVersion, which has 4 fields.",FALSE,1
174,p256k1,5.4.1,field::tests::pow,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,3
175,parity-db,0.4.11,compress::tests::test_compression_interfaces,Undefined Behavior,write access through <115776> is forbidden,Undefined Behavior: write access through <> is forbidden,TRUE,1
176,parity-secp256k1,0.7.0,key::test::pubkey_add,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,FALSE,1
