crate_name,category,text,id,count
luasocket,foreign_functions,"td_rlua::lua_State",5,1
wasmer-runtime-core-near,rust_functions,"types::LocalMemoryIndex",5,1
wasmer-runtime-core-near,rust_functions,"units::Pages",5,1
wasmer-runtime-core-near,rust_functions,"types::ImportedMemoryIndex",5,1
wasmer-runtime-core-near,rust_functions,"types::LocalTableIndex",5,1
krust,foreign_functions,"[f32; 4]",8,1
roxido,foreign_functions,"u128",3,1
mouse_automation,foreign_functions,"Input",5,1
wasmcloud-nats-kvcache,rust_functions,"dyn codec::CapabilityProvider",14,1
freefare-sys,foreign_functions,"[u8; 4]",8,1
freefare-sys,foreign_functions,"[u8; 6]",8,1
freefare-sys,foreign_functions,"[u8; 16]",8,1
glpk-sys,foreign_functions,"[Struct___va_list_tag; 1]",8,1
ez_audio,foreign_functions,"InnerHandle<()>",5,1
fmod,foreign_functions,"ffi::FMOD_SYSTEM",5,1
fmod,foreign_functions,"ffi::FMOD_DSP",5,1
fmod,foreign_functions,"ffi::FMOD_SOUND",5,1
fmod,foreign_functions,"ffi::FMOD_CHANNEL",5,1
fmod,foreign_functions,"ffi::FMOD_REVERB",5,1
fmod,foreign_functions,"ffi::FMOD_CHANNELGROUP",5,1
fmod,foreign_functions,"ffi::FMOD_SOUNDGROUP",5,1
fmod,foreign_functions,"ffi::FMOD_DSPCONNECTION",5,1
fmod,foreign_functions,"ffi::FMOD_GEOMETRY",5,1
fmod,foreign_functions,"ffi::FMOD_SYNCPOINT",5,1
reax,rust_functions,"fn(*const ())",13,1
caldera-bindings,foreign_functions,"u128",3,1
quickjs-sys,foreign_functions,"u128",3,1
wasmcloud-telnet,rust_functions,"dyn wasmcloud_provider_core::CapabilityProvider",14,1
safecoin-exchange-program,rust_functions,"std::result::Result<(), solana_sdk::instruction::InstructionError>",5,1
safecoin-exchange-program,rust_functions,"dyn solana_sdk::process_instruction::InvokeContext",14,1
safecoin-exchange-program,rust_functions,"[u8]",9,1
safecoin-exchange-program,rust_functions,"[solana_sdk::keyed_account::KeyedAccount<'_>]",9,1
drm-rs,foreign_functions,"[u32; 4]",8,1
socket,foreign_functions,"[i32]",9,1
protobuf-native,foreign_functions,"internal::CInt",5,1
guile-sys,foreign_functions,"[Struct_Unnamed6; 1]",8,1
guile-sys,foreign_functions,"[Struct_Unnamed4; 1]",8,1
guile-sys,foreign_functions,"[Struct___jmp_buf_tag; 1]",8,1
guile-sys,foreign_functions,"[Struct_Unnamed2; 1]",8,1
guile-sys,foreign_functions,"[Struct___va_list_tag; 1]",8,1
rust-corosync,foreign_functions,"u128",3,1
wascc-nats,rust_functions,"dyn codec::capabilities::CapabilityProvider",14,1
perfrecord-mach-ipc-rendezvous,foreign_functions,"[i8; 4096]",8,1
perfrecord-mach-ipc-rendezvous,foreign_functions,"[mach_sys::Struct_vm_read_entry; 256]",8,1
perfrecord-mach-ipc-rendezvous,foreign_functions,"[i8; 512]",8,1
duckdb-extension-framework,foreign_functions,"u128",3,1
syrette,static_items,"fn() -> (std::any::TypeId, std::boxed::Box<dyn std::any::Any + std::marker::Send + std::marker::Sync>)",13,1
libxml,foreign_functions,"unsafe fn(*mut libc::c_void, *mut bindings::_xmlError)",13,1
libxml,static_items,"unsafe fn(*mut libc::c_void, *mut bindings::_xmlError)",13,1
clhash-sys,foreign_functions,"u128",3,1
compiler_builtins,rust_functions,"u128",3,1
compiler_builtins,rust_functions,"i128",2,1
compiler_builtins,rust_functions,"(i128, bool)",19,1
compiler_builtins,rust_functions,"(u128, bool)",19,1
mono-rs,foreign_functions,"u128",3,1
ncursesw,foreign_functions,"u128",3,1
cult,foreign_functions,"AudioStream",5,1
wow-rs,foreign_functions,"wow_t",5,1
stable-swap-fuzz,rust_functions,"[u8]",9,1
mech-stats,rust_functions,"mech_core::Table",5,1
mech-stats,rust_functions,"std::vec::Vec<(std::string::String, mech_core::Table)>",5,1
iredismodule,static_items,"u128",3,1
oasis-test,rust_functions,"oasis_types::ExtStatusCode",5,1
oasis-test,rust_functions,"u128",3,1
wasmcloud-s3,rust_functions,"dyn codec::CapabilityProvider",14,1
chip,foreign_functions,"[f32; 9]",8,1
chip,foreign_functions,"[f32; 3]",8,1
virt,foreign_functions,"connect::sys::virConnect",5,1
virt,foreign_functions,"domain::sys::virDomain",5,1
virt,foreign_functions,"network::sys::virNetwork",5,1
virt,foreign_functions,"interface::sys::virInterface",5,1
virt,foreign_functions,"nodedev::sys::virNodeDevice",5,1
virt,foreign_functions,"secret::sys::virSecret",5,1
virt,foreign_functions,"nwfilter::sys::virNWFilter",5,1
virt,foreign_functions,"storage_pool::sys::virStoragePool",5,1
virt,foreign_functions,"stream::sys::virStream",5,1
virt,foreign_functions,"domain_snapshot::sys::virDomainSnapshot",5,1
virt,foreign_functions,"storage_vol::sys::virStorageVol",5,1
solana-geyser-plugin-scaffold,rust_functions,"dyn solana_geyser_plugin_interface::geyser_plugin_interface::GeyserPlugin",14,1
nfc-sys,foreign_functions,"[i8; 1024]",8,1
axe_fx_midi,rust_functions,"parse::FractalModel",5,1
axe_fx_midi,rust_functions,"std::vec::Vec<u8>",5,1
ndless-sys,foreign_functions,"u128",3,1
libvips,foreign_functions,"u128",3,1
numpress,rust_functions,"std::result::Result<(), Error>",5,1
numpress,rust_functions,"std::result::Result<usize, Error>",5,1
solana-budget-program,rust_functions,"[u8]",9,1
solana-budget-program,rust_functions,"std::result::Result<(), solana_sdk::instruction::InstructionError>",5,1
solana-budget-program,rust_functions,"dyn solana_sdk::process_instruction::InvokeContext",14,1
solana-budget-program,rust_functions,"[solana_sdk::keyed_account::KeyedAccount<'_>]",9,1
wasmcloud-nats,rust_functions,"dyn wasmcloud_provider_core::CapabilityProvider",14,1
zsplg,rust_functions,"zsplg_core::FFIResult",5,1
zsplg,rust_functions,"zsplg_core::Object",5,1
packed_simd_2,foreign_functions,"codegen::v16::u8x2",5,1
packed_simd_2,foreign_functions,"codegen::v32::u8x4",5,1
packed_simd_2,foreign_functions,"codegen::v64::u8x8",5,1
packed_simd_2,foreign_functions,"codegen::v128::u8x16",5,1
packed_simd_2,foreign_functions,"codegen::v256::u8x32",5,1
packed_simd_2,foreign_functions,"codegen::v512::u8x64",5,1
packed_simd_2,foreign_functions,"codegen::v32::u16x2",5,1
packed_simd_2,foreign_functions,"codegen::v64::u16x4",5,1
packed_simd_2,foreign_functions,"codegen::v128::u16x8",5,1
packed_simd_2,foreign_functions,"codegen::v256::u16x16",5,1
packed_simd_2,foreign_functions,"codegen::v512::u16x32",5,1
packed_simd_2,foreign_functions,"codegen::v64::u32x2",5,1
packed_simd_2,foreign_functions,"codegen::v128::u32x4",5,1
packed_simd_2,foreign_functions,"codegen::v256::u32x8",5,1
packed_simd_2,foreign_functions,"codegen::v512::u32x16",5,1
packed_simd_2,foreign_functions,"codegen::v128::u64x2",5,1
