crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,num_duplicates
rustsat-kissat,0.1.1,sat_small_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f57e3066868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f730c8dc868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,test::configure,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f5f8e6a0868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f16edaf1868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,test::build_destroy,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f7f321dc868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fed90f8c868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,test::options,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f806f785868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f07fd1e7868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,test::limit,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f80b7cde868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fe535051868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,small_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f832e437868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fd6f0cbc868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f9d59e25868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fe79df41868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,test::tiny_instance_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fa5501c4868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f592f4f9868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,unsat_small_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fc1d195d868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fa2b784a868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,unsat_small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fc695f72868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f4c42891868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,test::tiny_instance_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fcc7352f868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f5fa34a5868[noalloc] is a dangling pointer (it has no provenance),1
sapio-secp256k1,0.22.4,key::test::create_pubkey_combine,0,1,1,LLI interoperation error,LLI interoperation error,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,1
smalloca,0.1.0,tests::panic_test,0,1,1,Undefined Behavior,Undefined Behavior,unwinding past the topmost frame of the stack,unwinding past the topmost frame of the stack,1
spdkit,0.1.0,fingerprint::test_molecule_fingerprint,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f1626736868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f62e108c868[noalloc] is a dangling pointer (it has no provenance),1
spdkit-nauty,0.1.1,test_nauty,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f474ce59868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f43b2584868[noalloc] is a dangling pointer (it has no provenance),1
spdkit-nauty,0.1.1,nauty::test_nauty_labels,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f6b566c7868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7faf8e6db868[noalloc] is a dangling pointer (it has no provenance),1
special-fun,0.2.0,cephes_double::shichi,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.","LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",1
special-fun,0.2.0,cephes_double::sici,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field width mismatch: cannot convert an LLVM field of width 4 to a Rust field of type f64, which has width 8","LLVM field width mismatch: cannot convert an LLVM field of width 4 to a Rust field of type f64, which has width 8",1
