crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,error_text_stack,error_text_tree,actual_failure_stack,actual_failure_tree,exit_signal_no_stack,exit_signal_no_tree,shared,num_duplicates
casper-node,1.5.1,components::contract_runtime::trie_chunking_tests::returns_trie_or_chunk,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,FALSE,NA,NA,TRUE,1
cesride,0.6.1,core::creder::test::sanity,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","accessing memory with alignment 1, but alignment 16 is required",FALSE,FALSE,NA,NA,FALSE,12
cesride,0.6.1,core::sadder::test::populate_from_kind_and_self_unhappy_paths,0,1,1,Undefined Behavior,Unsupported Operation,"accessing memory with alignment 1, but alignment 16 is required",unsupported operation: can't call foreign function `blake3_compress_in_place_sse2` on OS `linux`,FALSE,FALSE,NA,NA,FALSE,1
cpclib-asm,0.7.0,lzclose,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7feb6e469868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fc415d93868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
crew-rs,0.1.0,admin_can_entrust_secret_info_to_content_secret,101,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","accessing memory with alignment 1, but alignment 4 is required",FALSE,FALSE,NA,NA,FALSE,2
dwebp,0.1.0,tests::test_awebp_to_multi_png_with_animated,0,1,1,Undefined Behavior,Undefined Behavior,"reading memory at alloc[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory","reading memory at alloc[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory",FALSE,FALSE,NA,NA,TRUE,4
flips,0.2.1,linear::test_create_apply,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds","memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,FALSE,NA,NA,TRUE,1
flips,0.2.1,delta::test_create_apply,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: null pointer is a dangling pointer (it has no provenance),memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,3
flips-sys,0.2.1,bps::tests::check_create_linear_and_apply,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 4096, so pointer to 1 byte starting at offset -1 is out-of-bounds","memory access failed: alloc has size 4096, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,FALSE,NA,NA,TRUE,1
flips-sys,0.2.1,bps::tests::check_create_delta_and_apply,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: null pointer is a dangling pointer (it has no provenance),memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
grebedb,1.0.0,format::tests::test_format,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 8 is required","accessing memory with alignment 1, but alignment 8 is required",FALSE,FALSE,NA,NA,FALSE,48
